Date;rate
12.08.2025;3,6
08.07.2025;3,85
20.05.2025;3,85
01.04.2025;4,1
18.02.2025;4,1
10.12.2024;4,35
05.11.2024;4,35
24.09.2024;4,35
06.08.2024;4,35
18.06.2024;4,35
07.05.2024;4,35
19.03.2024;4,35
06.02.2024;4,35
05.12.2023;4,35
07.11.2023;4,35
03.10.2023;4,1
05.09.2023;4,1
01.08.2023;4,1
04.07.2023;4,1
06.06.2023;4,1
02.05.2023;3,85
07.03.2023;3,6
07.02.2023;3,35
06.12.2022;3,1
01.11.2022;2,85
04.10.2022;2,6
06.09.2022;2,35
02.08.2022;1,85
05.07.2022;1,35
07.06.2022;0,85
03.05.2022;0,35
05.04.2022;0,1
01.03.2022;0,1
01.02.2022;0,1
07.12.2021;0,1
02.11.2021;0,1
05.10.2021;0,1
07.09.2021;0,1
03.08.2021;0,1
06.07.2021;0,1
01.06.2021;0,1
04.05.2021;0,1
06.04.2021;0,1
02.03.2021;0,1
02.02.2021;0,1
01.12.2020;0,1
03.11.2020;0,1
06.10.2020;0,25
01.09.2020;0,25
04.08.2020;0,25
07.07.2020;0,25
02.06.2020;0,25
05.05.2020;0,25
07.04.2020;0,25
19.03.2020;0,25
03.03.2020;0,5
04.02.2020;0,75
03.12.2019;0,75
05.11.2019;0,75
01.10.2019;0,75
03.09.2019;1
06.08.2019;1
02.07.2019;1
04.06.2019;1,25
07.05.2019;1,5
02.04.2019;1,5
05.03.2019;1,5
05.02.2019;1,5
04.12.2018;1,5
06.11.2018;1,5
02.10.2018;1,5
04.09.2018;1,5
07.08.2018;1,5
03.07.2018;1,5
05.06.2018;1,5
01.05.2018;1,5
03.04.2018;1,5
06.03.2018;1,5
06.02.2018;1,5
05.12.2017;1,5
07.11.2017;1,5
03.10.2017;1,5
05.09.2017;1,5
01.08.2017;1,5
04.07.2017;1,5
06.06.2017;1,5
02.05.2017;1,5
04.04.2017;1,5
07.03.2017;1,5
07.02.2017;1,5
06.12.2016;1,5
01.11.2016;1,5
04.10.2016;1,5
06.09.2016;1,5
02.08.2016;1,5
05.07.2016;1,75
07.06.2016;1,75
03.05.2016;1,75
05.04.2016;2
01.03.2016;2
02.02.2016;2
01.12.2015;2
03.11.2015;2
06.10.2015;2
01.09.2015;2
04.08.2015;2
07.07.2015;2
02.06.2015;2
05.05.2015;2
07.04.2015;2,25
03.03.2015;2,25
03.02.2015;2,25
02.12.2014;2,5
04.11.2014;2,5
07.10.2014;2,5
02.09.2014;2,5
05.08.2014;2,5
01.07.2014;2,5
03.06.2014;2,5
06.05.2014;2,5
01.04.2014;2,5
04.03.2014;2,5
04.02.2014;2,5
03.12.2013;2,5
05.11.2013;2,5
01.10.2013;2,5
03.09.2013;2,5
06.08.2013;2,5
02.07.2013;2,75
04.06.2013;2,75
07.05.2013;2,75
02.04.2013;3
05.03.2013;3
05.02.2013;3
04.12.2012;3
06.11.2012;3,25
02.10.2012;3,25
04.09.2012;3,5
07.08.2012;3,5
03.07.2012;3,5
05.06.2012;3,5
01.05.2012;3,75
03.04.2012;4,25
06.03.2012;4,25
07.02.2012;4,25
06.12.2011;4,25
01.11.2011;4,5
04.10.2011;4,75
06.09.2011;4,75
02.08.2011;4,75
05.07.2011;4,75
07.06.2011;4,75
03.05.2011;4,75
05.04.2011;4,75
01.03.2011;4,75
01.02.2011;4,75
07.12.2010;4,75
02.11.2010;4,75
05.10.2010;4,5
07.09.2010;4,5
03.08.2010;4,5
06.07.2010;4,5
01.06.2010;4,5
04.05.2010;4,5
06.04.2010;4,25
02.03.2010;4
02.02.2010;3,75
01.12.2009;3,75
03.11.2009;3,5
06.10.2009;3,25
01.09.2009;3
04.08.2009;3
07.07.2009;3
02.06.2009;3
05.05.2009;3
07.04.2009;3
03.03.2009;3,25
03.02.2009;3,25
02.12.2008;4,25
04.11.2008;5,25
07.10.2008;6
02.09.2008;7
05.08.2008;7,25
01.07.2008;7,25
03.06.2008;7,25
06.05.2008;7,25
01.04.2008;7,25
04.03.2008;7,25
05.02.2008;7
04.12.2007;6,75
06.11.2007;6,75
02.10.2007;6,5
04.09.2007;6,5
07.08.2007;6,5
03.07.2007;6,25
05.06.2007;6,25
